-1.089885405126213058e+01,-3.705245935414899350e+01
-1.089875293724455574e+01,-3.705268835410370798e+01
-1.089903405945182868e+01,-3.705270138469401786e+01
-1.089900395406060341e+01,-3.705278492674873547e+01
-1.089890788433550028e+01,-3.705274323024452343e+01
-1.089887441529529966e+01,-3.705270375218197643e+01
-1.089892401877420092e+01,-3.705278386045082328e+01
-1.089916889002632239e+01,-3.705268698931112681e+01
-1.089919239033493525e+01,-3.705270488975032350e+01
-1.089912839046151838e+01,-3.705281201074605235e+01
